name,type,inspection_date,rating,url,postcode,lon,lat
Navigation Primary School,Community School,2011-03-01,Good,https://reports.ofsted.gov.uk/provider/21/106283,WA14 1NG,-2.348109,53.395316
Oldfield Brow Primary School,Community School,2006-10-18,Outstanding,https://reports.ofsted.gov.uk/provider/21/106284,WA14 4LE,-2.377778,53.391774
Stamford Park Junior School,Community School,2010-11-17,Good,https://reports.ofsted.gov.uk/provider/21/106285,WA15 9JB,-2.340502,53.382538
Stamford Park Infant School,Community School,2007-05-10,Outstanding,https://reports.ofsted.gov.uk/provider/21/106286,WA15 9JB,-2.340502,53.382538
Heyes Lane Primary School,Community School,2013-01-17,Good,https://reports.ofsted.gov.uk/provider/21/106288,WA15 6BZ,-2.325453,53.406058
Broadheath Primary School,Community School,2014-11-12,Good,https://reports.ofsted.gov.uk/provider/21/106289,WA14 5JQ,-2.360126,53.404465
Broomwood Primary School,Community School,2015-06-11,Good,https://reports.ofsted.gov.uk/provider/21/106290,WA15 7JU,-2.30838,53.391488
Well Green Primary School,Community School,2007-03-15,Outstanding,https://reports.ofsted.gov.uk/provider/21/106293,WA15 8QA,-2.316255,53.376762
Willows Primary School,Community School,2014-10-02,Good,https://reports.ofsted.gov.uk/provider/21/106294,WA15 6PP,-2.330461,53.396202
Cloverlea Primary School,Community School,2007-06-14,Outstanding,https://reports.ofsted.gov.uk/provider/21/106295,WA15 7NQ,-2.321251,53.389369
Springfield Primary School,Community School,2007-04-26,Outstanding,https://reports.ofsted.gov.uk/provider/21/106298,M33 7XS,-2.321436,53.423956
Woodheys Primary School,Community School,2017-06-21,Good,https://reports.ofsted.gov.uk/provider/21/106299,M33 4PG,-2.345597,53.41384
Worthington Primary School,Community School,2014-12-03,Good,https://reports.ofsted.gov.uk/provider/21/106300,M33 2JJ,-2.295154,53.420627
Brooklands Primary School,Community School,2007-02-02,Outstanding,https://reports.ofsted.gov.uk/provider/21/106301,M33 3SY,-2.326637,53.413426
Firs Primary School,Community School,2017-07-13,Outstanding,https://reports.ofsted.gov.uk/provider/21/106303,M33 5EL,-2.352276,53.422836
Wellfield Junior School,Community School,2014-01-23,Good,https://reports.ofsted.gov.uk/provider/21/106304,M33 5QX,-2.339427,53.430594
Moorlands Junior School,Community School,2014-03-20,Good,https://reports.ofsted.gov.uk/provider/21/106308,M33 2LP,-2.302078,53.425247
Templemoor Infant and Nursery School,Community School,2009-03-18,Outstanding,https://reports.ofsted.gov.uk/provider/21/106312,M33 2EG,-2.302677,53.422702
Wellfield Infant and Nursery School,Community School,2016-02-03,Outstanding,https://reports.ofsted.gov.uk/provider/21/106313,M33 5QG,-2.342405,53.432284
Urmston Primary School,Community School,2011-02-03,Good,https://reports.ofsted.gov.uk/provider/21/106315,M41 5AH,-2.359226,53.449331
Davyhulme Primary School,Community School,2013-06-12,Outstanding,https://reports.ofsted.gov.uk/provider/21/106316,M41 0RX,-2.351148,53.453966
Flixton Primary School,Community School,2014-10-15,Good,https://reports.ofsted.gov.uk/provider/21/106318,M41 5QL,-2.378333,53.449209
Gorse Hill Primary School,Community School,2014-07-04,Good,https://reports.ofsted.gov.uk/provider/21/106321,M32 0PF,-2.299011,53.455582
Kings Road Primary School,Community School,2013-07-05,Good,https://reports.ofsted.gov.uk/provider/21/106322,M16 0GR,-2.281652,53.453979
Moss Park Junior School,Community School,2009-04-02,Outstanding,https://reports.ofsted.gov.uk/provider/21/106323,M32 9HR,-2.322763,53.448132
Moss Park Infant School,Community School,2017-05-17,Good,https://reports.ofsted.gov.uk/provider/21/106324,M32 9HR,-2.322763,53.448132
Seymour Park Community Primary School,Community School,2010-02-25,Outstanding,https://reports.ofsted.gov.uk/provider/21/106325,M16 9QE,-2.272167,53.458999
Victoria Park Junior School,Community School,2013-10-02,Outstanding,https://reports.ofsted.gov.uk/provider/21/106327,M32 0XZ,-2.304232,53.450715
Victoria Park Infant School,Community School,2011-04-21,Good,https://reports.ofsted.gov.uk/provider/21/106328,M32 8BU,-2.309099,53.449193
Highfield Primary School,Community School,2012-12-06,Good,https://reports.ofsted.gov.uk/provider/21/106329,M41 9PA,-2.338217,53.448772
Woodhouse Primary School,Community School,2013-09-11,Good,https://reports.ofsted.gov.uk/provider/21/106332,M41 7WW,-2.369834,53.457137
Kingsway Primary School,Community School,2014-11-05,Good,https://reports.ofsted.gov.uk/provider/21/106334,M41 0SP,-2.341316,53.457842
St Matthew's CofE Primary School,Voluntary Controlled School,2017-05-05,Good,https://reports.ofsted.gov.uk/provider/21/106337,M32 9AN,-2.314505,53.441017
Bowdon CofE Primary School,Voluntary Aided School,2006-11-08,Outstanding,https://reports.ofsted.gov.uk/provider/21/106338,WA14 3EX,-2.35631,53.37255
St Hugh's Catholic Primary School,Voluntary Aided School,2013-05-15,Outstanding,https://reports.ofsted.gov.uk/provider/21/106340,WA15 6TQ,-2.3351,53.402867
Altrincham CofE (Aided) Primary School,Voluntary Aided School,2008-07-08,Outstanding,https://reports.ofsted.gov.uk/provider/21/106341,WA14 4DS,-2.351994,53.390585
St Anne's CofE Primary School,Voluntary Aided School,2015-06-17,Good,https://reports.ofsted.gov.uk/provider/21/106343,M33 3ES,-2.308589,53.420314
St Mary's CofE Primary School,Voluntary Aided School,2007-07-12,Outstanding,https://reports.ofsted.gov.uk/provider/21/106344,M33 6SA,-2.332335,53.424403
Holy Family Catholic Primary School,Voluntary Aided School,2016-07-14,Good,https://reports.ofsted.gov.uk/provider/21/106345,M33 2JA,-2.301126,53.420423
Our Lady of Lourdes Catholic School,Voluntary Aided School,2018-09-19,Good,https://reports.ofsted.gov.uk/provider/21/106346,M31 4PJ,-2.436427,53.418701
All Saints' Catholic Primary School,Voluntary Aided School,2016-11-03,Good,https://reports.ofsted.gov.uk/provider/21/106347,M33 5NW,-2.350399,53.430607
St Joseph's Catholic Primary School,Voluntary Aided School,2009-03-23,Outstanding,https://reports.ofsted.gov.uk/provider/21/106348,M33 3AF,-2.317842,53.422177
St Mary's CofE Primary School,Voluntary Aided School,2016-04-21,Good,https://reports.ofsted.gov.uk/provider/21/106349,M41 5TJ,-2.364336,53.455284
St Michael's CofE (Aided) Primary School,Voluntary Aided School,2007-03-22,Outstanding,https://reports.ofsted.gov.uk/provider/21/106350,M41 6JB,-2.382525,53.4432
St Hilda's CofE Primary School,Voluntary Aided School,2014-05-15,Good,https://reports.ofsted.gov.uk/provider/21/106351,M16 0SH,-2.279341,53.450596
English Martyrs' RC Primary School,Voluntary Aided School,2013-03-13,Good,https://reports.ofsted.gov.uk/provider/21/106352,M41 5AH,-2.359226,53.449331
St Hugh of Lincoln RC Primary School,Voluntary Aided School,2009-03-25,Outstanding,https://reports.ofsted.gov.uk/provider/21/106353,M32 9PD,-2.336415,53.453245
St Teresa's RC Primary School,Voluntary Aided School,2014-04-09,Good,https://reports.ofsted.gov.uk/provider/21/106355,M16 0GQ,-2.283372,53.452259
St Monica's RC Primary School,Voluntary Aided School,2014-10-01,Good,https://reports.ofsted.gov.uk/provider/21/106356,M41 6QB,-2.390757,53.44623
Our Lady of the Rosary RC Primary School,Voluntary Aided School,2007-05-22,Outstanding,https://reports.ofsted.gov.uk/provider/21/106358,M41 7DS,-2.360543,53.457255
St Margaret Ward Catholic Primary School,Voluntary Aided School,2009-07-02,Outstanding,https://reports.ofsted.gov.uk/provider/21/106359,M33 4GY,-2.358125,53.413432
St Alphonsus RC Primary School,Voluntary Aided School,2014-04-09,Outstanding,https://reports.ofsted.gov.uk/provider/21/106360,M16 7PT,-2.263595,53.463531
St Ann's RC Primary School,Voluntary Aided School,2007-12-13,Outstanding,https://reports.ofsted.gov.uk/provider/21/133284,M32 8SH,-2.306276,53.450243
St Vincent's Catholic Primary School,Voluntary Aided School,2011-10-14,Outstanding,https://reports.ofsted.gov.uk/provider/21/136087,WA15 8EY,-2.343074,53.390205
Forest Gate Academy,Academy Sponsor Led,2018-06-14,Good,https://reports.ofsted.gov.uk/provider/21/138788,M31 4PN,-2.440803,53.416987
Acre Hall Primary School,Academy Sponsor Led,2018-12-05,Good,https://reports.ofsted.gov.uk/provider/21/138977,M41 6NA,-2.393185,53.448253
